experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_T7_tabular_et_leaf1_log1p,tabular,et_leaf1,7,84,275,5,5.7026542674951175,11.263614673660202,0.5366000850274754,0.7958091226450478,-1.624097557302418,direct_temporal,True,,,,
direct_T7_tabular_et_leaf3_raw,tabular,et_leaf3,7,84,275,5,6.432605576150687,11.264185115587047,0.5365531463773475,0.7636773318715558,-0.05656060325839139,direct_temporal,False,,,,
direct_T7_tabular_plus_top30_source_et_leaf1_raw,tabular_plus_top30_source,et_leaf1,7,294,275,5,6.726458683910564,11.333089879321502,0.530865852124998,0.7245041978015638,0.35752918155857877,direct_temporal,False,,,,
residual_T7_top30_source_base-et_leaf3_res-rf_leaf2_log1p,top30_source,base_et_leaf3_res_rf_leaf2,7,294,275,5,6.237544915463066,11.472807860261785,0.5192272759444299,0.753131761922622,-0.6541739695953833,residual_temporal,True,et_leaf3,rf_leaf2,84.0,210.0
direct_T7_tabular_et_leaf2_log1p,tabular,et_leaf2,7,84,275,5,5.769853471109423,11.495260810528066,0.5173436343484428,0.7888018233749747,-1.8426299077432045,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_et_leaf1_log1p,tabular_plus_top30_source,et_leaf1,7,294,275,5,6.05000325412441,11.770231453363792,0.49397684976110434,0.7561899541271169,-1.877004849213007,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_hgb_slow_log1p,tabular_plus_raw_source,hgb_slow,7,1043,275,5,6.365568497225958,11.800840530738153,0.49134155042083905,0.6886921900695306,-1.7447576683429618,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_et_leaf2_log1p,tabular_plus_top30_source,et_leaf2,7,294,275,5,6.16246635481903,11.865109770355684,0.48578599493032537,0.7453137532096593,-1.9138131176745041,direct_temporal,True,,,,
direct_T7_tabular_et_leaf3_log1p,tabular,et_leaf3,7,84,275,5,5.969495269014846,11.869729762640244,0.4853854714972058,0.7727890135887597,-2.0141140972690468,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_ridge_log1p,tabular_plus_top30_source,ridge,7,294,275,5,7.520974004778889,11.891214732202531,0.4835208150698118,0.5190790802342691,-0.438002999415047,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_et_leaf2_log1p,tabular_plus_raw_source,et_leaf2,7,1043,275,5,6.123284428428639,11.971026088608195,0.47656454722034414,0.7564900031735958,-1.6241952565833686,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_hgb_slow_raw,tabular_plus_raw_source,hgb_slow,7,1043,275,5,7.678032645205377,12.001628261955917,0.47388495459169,0.5482905859611668,0.34942556397063335,direct_temporal,False,,,,
direct_T7_tabular_plus_raw_source_et_leaf3_log1p,tabular_plus_raw_source,et_leaf3,7,1043,275,5,6.248263517327565,12.09482747169156,0.46568208554925083,0.7519817662502525,-1.671924541354106,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_et_leaf3_log1p,tabular_plus_top30_source,et_leaf3,7,294,275,5,6.311071318105653,12.16509856939293,0.45945526155608973,0.7411026802458094,-2.0730042385063876,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_et_leaf3_raw,tabular_plus_raw_source,et_leaf3,7,1043,275,5,7.0355283550035645,12.299769667332697,0.44742104944805905,0.7134872046392199,0.3923993749777046,direct_temporal,False,,,,
direct_T7_tabular_hgb_slow_log1p,tabular,hgb_slow,7,84,275,5,6.628024770755057,12.309823721159349,0.44651730420559654,0.6955206139465104,-1.6177819929064834,direct_temporal,True,,,,
direct_T7_tabular_ridge_log1p,tabular,ridge,7,84,275,5,7.4288595375433255,12.319766880672551,0.44562280083876615,0.5696967773578373,-1.5568741826964805,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_ridge_log1p,tabular_plus_raw_source,ridge,7,1043,275,5,7.695184161900411,12.368012208135044,0.4412723159847254,0.5635301924353019,-0.27393036781032587,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_hgb_slow_log1p,tabular_plus_top30_source,hgb_slow,7,294,275,5,6.715455390164911,12.370931835145601,0.44100849525878405,0.6769735437523442,-1.6785017936461315,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_hgb_slow_raw,tabular_plus_top30_source,hgb_slow,7,294,275,5,7.843101817490257,12.425928385581678,0.436027311953759,0.5873742823346124,0.3510460797868833,direct_temporal,False,,,,
direct_T7_tabular_plus_raw_source_et_leaf1_log1p,tabular_plus_raw_source,et_leaf1,7,1043,275,5,6.3192328561007916,12.46683141157864,0.43230828893381146,0.750173970745218,-1.431252424687061,direct_temporal,True,,,,
direct_T7_raw_source_hgb_slow_raw,raw_source,hgb_slow,7,959,275,5,7.9088394564500515,12.470412674688784,0.4319820881011448,0.4492329095361191,0.24132497554629723,direct_temporal,False,,,,
direct_T7_raw_source_et_leaf2_log1p,raw_source,et_leaf2,7,959,275,5,6.5245356735562785,12.507624209566156,0.428587115556907,0.7105127861950948,-1.5843674107362382,direct_temporal,True,,,,
direct_T7_top30_source_et_leaf2_raw,top30_source,et_leaf2,7,210,275,5,7.551844542839269,12.547547851748533,0.42493345729487086,0.624991488960764,0.5339760749259336,direct_temporal,False,,,,
direct_T7_top30_source_et_leaf3_raw,top30_source,et_leaf3,7,210,275,5,7.606346592764628,12.56266601288813,0.42354686187409774,0.6272360969968309,0.308239095401906,direct_temporal,False,,,,
direct_T7_tabular_hgb_slow_raw,tabular,hgb_slow,7,84,275,5,7.998089009462029,12.63206375948351,0.4171604716220034,0.6002008020541819,0.9444337620980396,direct_temporal,False,,,,
