split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
chrono,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,aqi,-1.3899648960440154,132.85747661537778,82.45858761231369,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,random_forest,aqi,-1.4025292048794578,133.20624203947216,104.7327069588624,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,hist_gradient_boosting,aqi,-1.4164895602831176,133.59269163963222,79.1134242758592,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,random_forest,aqi,-1.4374464559287325,134.17072936034518,107.76104510660888,16825,5462,42,0.8
chrono,T7_tabular_plus_road,hist_gradient_boosting,aqi,-1.4499779765466374,134.51518979304444,83.94577660445731,16825,5462,42,0.8
chrono,T7_tabular_only,hist_gradient_boosting,aqi,-1.8589186709784498,145.30853994048107,101.04797906700807,16825,5462,42,0.8
chrono,T7_yolo_only,ridge,aqi,-4.6143034385942565,203.6283204869387,172.84751739990054,16825,5462,42,0.8
chrono,T7_tabular_plus_road,ridge,aqi,-6.572092349282026,236.48205435973767,161.4133923821857,16825,5462,42,0.8
chrono,T7_tabular_only,ridge,aqi,-7.617182261736474,252.27422340468635,191.20629632512643,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,ridge,aqi,-11.039731765270563,298.19382387177717,233.63653040595483,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,ridge,aqi,-13.844080782162862,331.1058798351994,278.43804157671593,16825,5462,42,0.8
